USN,CollegeName,Result,Score,s1_name,s1_r,s1_f,s1_i,s1_t,s2_name,s2_r,s2_f,s2_i,s2_t,s3_name,s3_r,s3_f,s3_i,s3_t,s4_name,s4_r,s4_f,s4_i,s4_t,s5_name,s5_r,s5_f,s5_i,s5_t
M1610038, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,DISTI,79.76,SOFTWARE PRACTICES AND TESTING ,Pass,57,18,75,BUSINESS INTELLIGENCE ,Pass,70,19,89,J2EE ,Pass,50,18,68,J2EE AND SOFTWARE TESTING LABORATORY,Pass,71,18,89,PROJECT AND VIVA VOCE ,Pass,201,54,255
M1610039, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,1ST C,68.05,SOFTWARE PRACTICES AND TESTING ,Pass,45,15,60,BUSINESS INTELLIGENCE ,Pass,51,16,67,J2EE ,Pass,46,15,61,J2EE AND SOFTWARE TESTING LABORATORY,Pass,71,17,88,PROJECT AND VIVA VOCE ,Pass,211,53,264
M1610040, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,1ST C,68.35,SOFTWARE PRACTICES AND TESTING ,Pass,44,15,59,BUSINESS INTELLIGENCE ,Pass,56,16,72,J2EE ,Pass,40,15,55,J2EE AND SOFTWARE TESTING LABORATORY,Pass,68,16,84,PROJECT AND VIVA VOCE ,Pass,191,54,245
M1610041, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,1ST C,66.54,SOFTWARE PRACTICES AND TESTING ,Pass,38,18,56,BUSINESS INTELLIGENCE ,Pass,44,18,62,J2EE ,Pass,33,16,49,J2EE AND SOFTWARE TESTING LABORATORY,Pass,69,18,87,PROJECT AND VIVA VOCE ,Pass,209,56,265
M1610042, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,DISTI,84.3,SOFTWARE PRACTICES AND TESTING ,Pass,55,18,73,BUSINESS INTELLIGENCE ,Pass,62,19,81,J2EE ,Pass,49,19,68,J2EE AND SOFTWARE TESTING LABORATORY,Pass,78,19,97,PROJECT AND VIVA VOCE ,Pass,213,57,270
M1610043, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,DISTI,71.86,SOFTWARE PRACTICES AND TESTING ,Pass,52,17,69,BUSINESS INTELLIGENCE ,Pass,60,19,79,J2EE ,Pass,34,17,51,J2EE AND SOFTWARE TESTING LABORATORY,Pass,67,17,84,PROJECT AND VIVA VOCE ,Pass,203,54,257
M1610044, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,FAIL,72.71,SOFTWARE PRACTICES AND TESTING ,Pass,45,18,63,BUSINESS INTELLIGENCE ,Pass,37,18,55,J2EE ,Fail,23,17,40,J2EE AND SOFTWARE TESTING LABORATORY,Pass,75,19,94,PROJECT AND VIVA VOCE ,Pass,205,52,257
M1610045, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,DISTI,82.32,SOFTWARE PRACTICES AND TESTING ,Pass,54,18,72,BUSINESS INTELLIGENCE ,Pass,65,19,84,J2EE ,Pass,39,18,57,J2EE AND SOFTWARE TESTING LABORATORY,Pass,77,18,95,PROJECT AND VIVA VOCE ,Pass,228,53,281
M1610046, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,FAIL,78,SOFTWARE PRACTICES AND TESTING ,Pass,53,17,70,BUSINESS INTELLIGENCE ,Pass,57,18,75,J2EE ,Fail,23,17,40,J2EE AND SOFTWARE TESTING LABORATORY,Pass,78,18,96,PROJECT AND VIVA VOCE ,Pass,212,53,265
M1610047, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,FAIL,67.43,SOFTWARE PRACTICES AND TESTING ,Pass,32,17,49,BUSINESS INTELLIGENCE ,Pass,33,17,50,J2EE ,Fail,22,17,39,J2EE AND SOFTWARE TESTING LABORATORY,Pass,65,17,82,PROJECT AND VIVA VOCE ,Pass,201,51,252
M1610048, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,1ST C,66.22,SOFTWARE PRACTICES AND TESTING ,Pass,40,17,57,BUSINESS INTELLIGENCE ,Pass,45,18,63,J2EE ,Pass,32,17,49,J2EE AND SOFTWARE TESTING LABORATORY,Pass,71,18,89,PROJECT AND VIVA VOCE ,Pass,193,53,246
M1610049, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,DISTI,86.11,SOFTWARE PRACTICES AND TESTING ,Pass,56,18,74,BUSINESS INTELLIGENCE ,Pass,52,18,70,J2EE ,Pass,49,18,67,J2EE AND SOFTWARE TESTING LABORATORY,Pass,78,18,96,PROJECT AND VIVA VOCE ,Pass,214,56,270
M1610050, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,1ST C,69.35,SOFTWARE PRACTICES AND TESTING ,Pass,46,17,63,BUSINESS INTELLIGENCE ,Pass,47,17,64,J2EE ,Pass,38,17,55,J2EE AND SOFTWARE TESTING LABORATORY,Pass,60,17,77,PROJECT AND VIVA VOCE ,Pass,201,52,253
M1610051, College : 4206  -  KLE S SHRI. S M S S B.C.A. COLLEGE  ATHANI,DISTI,76.35,SOFTWARE PRACTICES AND TESTING ,Pass,47,18,65,BUSINESS INTELLIGENCE ,Pass,45,20,65,J2EE ,Pass,42,18,60,J2EE AND SOFTWARE TESTING LABORATORY,Pass,75,19,94,PROJECT AND VIVA VOCE ,Pass,215,54,269
M1610201, College : 4218  -  SKES S G S SCIENCE COLLEGE  BELAGAVI,DISTI,78.95,SOFTWARE PRACTICES AND TESTING ,Pass,62,20,82,BUSINESS INTELLIGENCE ,Pass,61,20,81,J2EE ,Pass,63,17,80,J2EE AND SOFTWARE TESTING LABORATORY,Pass,69,18,87,PROJECT AND VIVA VOCE ,Pass,230,58,288
M1610202, College : 4218  -  SKES S G S SCIENCE COLLEGE  BELAGAVI,1ST C,67.62,SOFTWARE PRACTICES AND TESTING ,Pass,46,8,54,BUSINESS INTELLIGENCE ,Pass,53,8,61,J2EE ,Pass,51,8,59,J2EE AND SOFTWARE TESTING LABORATORY,Pass,76,8,84,PROJECT AND VIVA VOCE ,Pass,228,48,276
M1610203, College : 4218  -  SKES S G S SCIENCE COLLEGE  BELAGAVI,DISTI,72.97,SOFTWARE PRACTICES AND TESTING ,Pass,42,17,59,BUSINESS INTELLIGENCE ,Pass,39,10,49,J2EE ,Pass,41,11,52,J2EE AND SOFTWARE TESTING LABORATORY,Pass,48,15,63,PROJECT AND VIVA VOCE ,Pass,232,53,285
M1610204, College : 4218  -  SKES S G S SCIENCE COLLEGE  BELAGAVI,DISTI,91.84,SOFTWARE PRACTICES AND TESTING ,Pass,67,20,87,BUSINESS INTELLIGENCE ,Pass,74,20,94,J2EE ,Pass,63,20,83,J2EE AND SOFTWARE TESTING LABORATORY,Pass,80,20,100,PROJECT AND VIVA VOCE ,Pass,232,60,292
M1610205, College : 4218  -  SKES S G S SCIENCE COLLEGE  BELAGAVI,1ST C,67.35,SOFTWARE PRACTICES AND TESTING ,Pass,73,8,81,BUSINESS INTELLIGENCE ,Pass,70,9,79,J2EE ,Pass,61,12,73,J2EE AND SOFTWARE TESTING LABORATORY,Pass,76,11,87,PROJECT AND VIVA VOCE ,Pass,229,53,282
M1610206, College : 4218  -  SKES S G S SCIENCE COLLEGE  BELAGAVI,N.C.L,--   ,SOFTWARE PRACTICES AND TESTING ,Pass,45,8,53,BUSINESS INTELLIGENCE ,Pass,47,8,55,J2EE ,Pass,46,9,55,J2EE AND SOFTWARE TESTING LABORATORY,Pass,63,8,71,PROJECT AND VIVA VOCE ,Pass,210,48,258
M1610207, College : 4218  -  SKES S G S SCIENCE COLLEGE  BELAGAVI,N.C.L,--   ,SOFTWARE PRACTICES AND TESTING ,Pass,40,14,54,BUSINESS INTELLIGENCE ,Pass,45,14,59,J2EE ,Pass,40,14,54,J2EE AND SOFTWARE TESTING LABORATORY,Pass,49,9,58,PROJECT AND VIVA VOCE ,Pass,226,53,279
M1610208, College : 4218  -  SKES S G S SCIENCE COLLEGE  BELAGAVI,1ST C,65.92,SOFTWARE PRACTICES AND TESTING ,Pass,52,13,65,BUSINESS INTELLIGENCE ,Pass,51,10,61,J2EE ,Pass,48,8,56,J2EE AND SOFTWARE TESTING LABORATORY,Pass,43,16,59,PROJECT AND VIVA VOCE ,Pass,210,58,268
M1610209, College : 4218  -  SKES S G S SCIENCE COLLEGE  BELAGAVI,FAIL,25.14,SOFTWARE PRACTICES AND TESTING ,Fail,Ab.,3,3,BUSINESS INTELLIGENCE ,Fail,32,3,35,J2EE ,Fail,Ab.,3,3,J2EE AND SOFTWARE TESTING LABORATORY,Fail,Ab.,3,3,PROJECT AND VIVA VOCE ,Pass,120,12,132
M1610211, College : 4218  -  SKES S G S SCIENCE COLLEGE  BELAGAVI,N.C.L,--   ,SOFTWARE PRACTICES AND TESTING ,Pass,58,13,71,BUSINESS INTELLIGENCE ,Pass,52,16,68,J2EE ,Pass,34,14,48,J2EE AND SOFTWARE TESTING LABORATORY,Pass,69,14,83,PROJECT AND VIVA VOCE ,Pass,205,53,258
M1610212, College : 4218  -  SKES S G S SCIENCE COLLEGE  BELAGAVI,N.C.L,--   ,SOFTWARE PRACTICES AND TESTING ,Pass,55,9,64,BUSINESS INTELLIGENCE ,Pass,57,9,66,J2EE ,Pass,41,10,51,J2EE AND SOFTWARE TESTING LABORATORY,Pass,50,15,65,PROJECT AND VIVA VOCE ,Pass,205,48,253
M1610213, College : 4218  -  SKES S G S SCIENCE COLLEGE  BELAGAVI,DISTI,89.16,SOFTWARE PRACTICES AND TESTING ,Pass,72,15,87,BUSINESS INTELLIGENCE ,Pass,77,19,96,J2EE ,Pass,66,16,82,J2EE AND SOFTWARE TESTING LABORATORY,Pass,78,20,98,PROJECT AND VIVA VOCE ,Pass,230,58,288
M1610214, College : 4218  -  SKES S G S SCIENCE COLLEGE  BELAGAVI,N.C.L,--   ,SOFTWARE PRACTICES AND TESTING ,Pass,60,9,69,BUSINESS INTELLIGENCE ,Pass,60,12,72,J2EE ,Pass,60,10,70,J2EE AND SOFTWARE TESTING LABORATORY,Pass,77,19,96,PROJECT AND VIVA VOCE ,Pass,225,53,278
M1610215, College : 4218  -  SKES S G S SCIENCE COLLEGE  BELAGAVI,DISTI,72.35,SOFTWARE PRACTICES AND TESTING ,Pass,43,15,58,BUSINESS INTELLIGENCE ,Pass,50,16,66,J2EE ,Pass,37,13,50,J2EE AND SOFTWARE TESTING LABORATORY,Pass,62,20,82,PROJECT AND VIVA VOCE ,Pass,218,58,276
M1610216, College : 4218  -  SKES S G S SCIENCE COLLEGE  BELAGAVI,1ST C,67.76,SOFTWARE PRACTICES AND TESTING ,Pass,41,15,56,BUSINESS INTELLIGENCE ,Pass,34,11,45,J2EE ,Pass,32,17,49,J2EE AND SOFTWARE TESTING LABORATORY,Pass,55,20,75,PROJECT AND VIVA VOCE ,Pass,232,53,285
M1610217, College : 4218  -  SKES S G S SCIENCE COLLEGE  BELAGAVI,DISTI,81.59,SOFTWARE PRACTICES AND TESTING ,Pass,55,14,69,BUSINESS INTELLIGENCE ,Pass,49,12,61,J2EE ,Pass,45,13,58,J2EE AND SOFTWARE TESTING LABORATORY,Pass,53,20,73,PROJECT AND VIVA VOCE ,Pass,228,48,276
M1610218, College : 4218  -  SKES S G S SCIENCE COLLEGE  BELAGAVI,DISTI,80.51,SOFTWARE PRACTICES AND TESTING ,Pass,65,14,79,BUSINESS INTELLIGENCE ,Pass,68,18,86,J2EE ,Pass,55,18,73,J2EE AND SOFTWARE TESTING LABORATORY,Pass,59,20,79,PROJECT AND VIVA VOCE ,Pass,230,58,288
M1610219, College : 4218  -  SKES S G S SCIENCE COLLEGE  BELAGAVI,DISTI,84.97,SOFTWARE PRACTICES AND TESTING ,Pass,68,15,83,BUSINESS INTELLIGENCE ,Pass,76,16,92,J2EE ,Pass,62,13,75,J2EE AND SOFTWARE TESTING LABORATORY,Pass,69,20,89,PROJECT AND VIVA VOCE ,Pass,196,48,244
M1610220, College : 4218  -  SKES S G S SCIENCE COLLEGE  BELAGAVI,FAIL,52.71,SOFTWARE PRACTICES AND TESTING ,Pass,43,10,53,BUSINESS INTELLIGENCE ,Pass,35,8,43,J2EE ,Fail,14,8,22,J2EE AND SOFTWARE TESTING LABORATORY,Pass,45,8,53,PROJECT AND VIVA VOCE ,Pass,150,48,198
M1610221, College : 4218  -  SKES S G S SCIENCE COLLEGE  BELAGAVI,N.C.L,--   ,SOFTWARE PRACTICES AND TESTING ,Pass,46,18,64,BUSINESS INTELLIGENCE ,Pass,54,18,72,J2EE ,Pass,37,18,55,J2EE AND SOFTWARE TESTING LABORATORY,Pass,75,18,93,PROJECT AND VIVA VOCE ,Pass,225,55,280
M1610222, College : 4218  -  SKES S G S SCIENCE COLLEGE  BELAGAVI,1ST C,68.86,SOFTWARE PRACTICES AND TESTING ,Pass,70,9,79,BUSINESS INTELLIGENCE ,Pass,61,16,77,J2EE ,Pass,41,16,57,J2EE AND SOFTWARE TESTING LABORATORY,Pass,74,20,94,PROJECT AND VIVA VOCE ,Pass,140,33,173
M1610223, College : 4218  -  SKES S G S SCIENCE COLLEGE  BELAGAVI,DISTI,73.41,SOFTWARE PRACTICES AND TESTING ,Pass,60,12,72,BUSINESS INTELLIGENCE ,Pass,66,14,80,J2EE ,Pass,53,15,68,J2EE AND SOFTWARE TESTING LABORATORY,Pass,65,15,80,PROJECT AND VIVA VOCE ,Pass,229,53,282
M1610224, College : 4218  -  SKES S G S SCIENCE COLLEGE  BELAGAVI,1ST C,68.03,SOFTWARE PRACTICES AND TESTING ,Pass,55,10,65,BUSINESS INTELLIGENCE ,Pass,51,8,59,J2EE ,Pass,36,9,45,J2EE AND SOFTWARE TESTING LABORATORY,Pass,65,8,73,PROJECT AND VIVA VOCE ,Pass,140,33,173
M1610225, College : 4218  -  SKES S G S SCIENCE COLLEGE  BELAGAVI,DISTI,79.57,SOFTWARE PRACTICES AND TESTING ,Pass,65,12,77,BUSINESS INTELLIGENCE ,Pass,71,13,84,J2EE ,Pass,54,13,67,J2EE AND SOFTWARE TESTING LABORATORY,Pass,72,12,84,PROJECT AND VIVA VOCE ,Pass,230,53,283
M1610226, College : 4218  -  SKES S G S SCIENCE COLLEGE  BELAGAVI,DISTI,89.14,SOFTWARE PRACTICES AND TESTING ,Pass,70,19,89,BUSINESS INTELLIGENCE ,Pass,58,19,77,J2EE ,Pass,75,19,94,J2EE AND SOFTWARE TESTING LABORATORY,Pass,74,20,94,PROJECT AND VIVA VOCE ,Pass,230,58,288
